  "PINCODE,C,6","CITY,C,25","STATE,C,15","REGION,C,10","NEWZONE,C,8"
110001,NEW DELHI,DELHI,NORTH,A
110002,NEW DELHI,DELHI,NORTH,A
110003,NEW DELHI,DELHI,NORTH,A
110004,NEW DELHI,DELHI,NORTH,A
110005,NEW DELHI,DELHI,NORTH,A
110006,NEW DELHI,DELHI,NORTH,A
110007,NEW DELHI,DELHI,NORTH,A
110008,NEW DELHI,DELHI,NORTH,A
110009,NEW DELHI,DELHI,NORTH,A
110010,NEW DELHI,DELHI,NORTH,A
110011,NEW DELHI,DELHI,NORTH,A
110012,NEW DELHI,DELHI,NORTH,A
110013,NEW DELHI,DELHI,NORTH,A
110014,NEW DELHI,DELHI,NORTH,A
110015,NEW DELHI,DELHI,NORTH,A
110016,NEW DELHI,DELHI,NORTH,A
110017,NEW DELHI,DELHI,NORTH,A
110018,NEW DELHI,DELHI,NORTH,A
110019,NEW DELHI,DELHI,NORTH,A
110020,NEW DELHI,DELHI,NORTH,A
110021,NEW DELHI,DELHI,NORTH,A
110022,NEW DELHI,DELHI,NORTH,A
110023,NEW DELHI,DELHI,NORTH,A
110024,NEW DELHI,DELHI,NORTH,A
110025,NEW DELHI,DELHI,NORTH,A
110026,NEW DELHI,DELHI,NORTH,A
110027,NEW DELHI,DELHI,NORTH,A
110028,NEW DELHI,DELHI,NORTH,A
110029,NEW DELHI,DELHI,NORTH,A
110030,NEW DELHI,DELHI,NORTH,A
110031,DELHI,DELHI,NORTH,A
110032,DELHI,DELHI,NORTH,A
110033,NEW DELHI,DELHI,NORTH,A
110034,NEW DELHI,DELHI,NORTH,A
110035,NEW DELHI,DELHI,NORTH,A
110036,NEW DELHI,DELHI,NORTH,A
110037,NEW DELHI,DELHI,NORTH,A
110038,NEW DELHI,DELHI,NORTH,A
110039,NEW DELHI,DELHI,NORTH,A
110040,NEW DELHI,DELHI,NORTH,A
110041,NEW DELHI,DELHI,NORTH,A
110042,NEW DELHI,DELHI,NORTH,A
110043,NEW DELHI,DELHI,NORTH,A
110044,NEW DELHI,DELHI,NORTH,A
110045,NEW DELHI,DELHI,NORTH,A
110046,NEW DELHI,DELHI,NORTH,A
110047,NEW DELHI,DELHI,NORTH,A
110048,NEW DELHI,DELHI,NORTH,A
110049,NEW DELHI,DELHI,NORTH,A
110051,DELHI,DELHI,NORTH,A
110052,NEW DELHI,DELHI,NORTH,A
110053,DELHI,DELHI,NORTH,A
110054,NEW DELHI,DELHI,NORTH,A
110055,NEW DELHI,DELHI,NORTH,A
110056,NEW DELHI,DELHI,NORTH,A
110057,NEW DELHI,DELHI,NORTH,A
110058,NEW DELHI,DELHI,NORTH,A
110059,NEW DELHI,DELHI,NORTH,A
110060,NEW DELHI,DELHI,NORTH,A
110061,NEW DELHI,DELHI,NORTH,A
110062,NEW DELHI,DELHI,NORTH,A
110063,NEW DELHI,DELHI,NORTH,A
110064,NEW DELHI,DELHI,NORTH,A
110065,NEW DELHI,DELHI,NORTH,A
110066,NEW DELHI,DELHI,NORTH,A
110067,NEW DELHI,DELHI,NORTH,A
110068,NEW DELHI,DELHI,NORTH,A
110069,NEW DELHI,DELHI,NORTH,A
110070,NEW DELHI,DELHI,NORTH,A
110071,NEW DELHI,DELHI,NORTH,A
110072,NEW DELHI,DELHI,NORTH,A
110073,NEW DELHI,DELHI,NORTH,A
110074,NEW DELHI,DELHI,NORTH,A
110075,NEW DELHI,DELHI,NORTH,A
